Name,Description,Coordinates,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown
3 Mi to Mill Creek Park: Willingboro Home w/ Grill,N/A,"{'latitude': 40.044124603271484, 'longitude': -74.88168334960938}",N/A,http://g.rentalsunited.com/gate.aspx?uid=554691&url=1&pid=3900979&lc=google,N/A,N/A,N/A
Dog friendly hideaway in Bucks County near River,N/A,"{'latitude': 40.0580940246582, 'longitude': -74.9702377319336}",N/A,N/A,N/A,N/A,N/A
Stays by HOC - Cozy & Comfort Cape,N/A,"{'latitude': 40.01646423339844, 'longitude': -74.87499237060547}",N/A,https://www.booking.com/hotel/us/cozy-comfort-home-in-quiet-neighborhood.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-11324856_grp-0_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-11324856;utm_campaign=en,N/A,4,N/A
Waterfront Apt #3: Historic Bristol,N/A,"{'latitude': 40.09689712524414, 'longitude': -74.8514404296875}",N/A,N/A,N/A,3,N/A
"2 bedroom, host up to 5 people, willingboro 2 bedroom",N/A,"{'latitude': 40.04000473022461, 'longitude': -74.89695739746094}",N/A,N/A,N/A,14,N/A
On the River in beautiful Bucks County-near large wedding venues &historic sites,N/A,"{'latitude': 40.05943298339844, 'longitude': -74.9654769897461}",N/A,N/A,N/A,24,N/A
Cozy  Comfort Cape Cod,N/A,"{'latitude': 40.01646041870117, 'longitude': -74.87499237060547}",N/A,https://www.bluepillow.com/search?p_id=5b9138c97c00cb3428d8bb9e&dest=bkng&cat=House&accomodationids=65ca0c4a671b07d23c6b6e0e,N/A,N/A,N/A
"Mt Holly Home With Playground Grill Basketball, free cancel",N/A,"{'latitude': 39.991920471191406, 'longitude': -74.7987289428711}",N/A,https://www.booking.com/hotel/us/adorable-home-central-spot-playground-amp-grill.en.html?aid=2068758;label=seogooglelocal-link-imagesaow-hotel-10885469_grp-1_gendate-20240917;utm_source=seogooglelocal;utm_medium=description;utm_term=hotel-10885469;utm_campaign=en,N/A,1,N/A
Spacious & Bright Lumberton Home With Backyard!,N/A,"{'latitude': 39.978031158447266, 'longitude': -74.78843688964844}",N/A,N/A,N/A,N/A,N/A
Bright & Comfortable Home,N/A,"{'latitude': 40.026206970214844, 'longitude': -74.89488983154297}",N/A,N/A,N/A,2,N/A
"Suburban Utopia! Quiet, Peacefull Private!!!",N/A,"{'latitude': 39.946128845214844, 'longitude': -74.79508209228516}",N/A,https://www.bluepillow.com/search?p_id=5b9138c97c00cb3428d8bb9e&dest=bpvr&cat=House&accomodationids=62176496a72397968073040d,N/A,N/A,N/A
The sweet spot,N/A,"{'latitude': 40.076385498046875, 'longitude': -74.84922790527344}",N/A,https://www.us.despegar.com/hotels/h-5424875,N/A,N/A,N/A
Entire home in Lumberton,N/A,"{'latitude': 39.98316192626953, 'longitude': -74.80242156982422}",N/A,N/A,N/A,18,N/A
"Colorful Abode w\/ Yard, 9 Mi to Sesame Place!",N/A,"{'latitude': 40.10135269165039, 'longitude': -74.86701965332031}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D13696639%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
The Perfect Home Away From Home. Enjoy a Great Couples Getaway.,N/A,"{'latitude': 40.08094024658203, 'longitude': -74.85176849365234}",N/A,N/A,N/A,53,N/A
Mt. Holly private one bedroom apt,N/A,"{'latitude': 40.0017204284668, 'longitude': -74.78849792480469}",N/A,https://www.us.despegar.com/hotels/h-5800668,N/A,N/A,N/A
Central NJ Event\/Retreat\/Camp for your Family\/Friends\/Clubs\/Church\/Teams\/Schools,N/A,"{'latitude': 40.07817840576172, 'longitude': -74.8589859008789}",N/A,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D92038309%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,N/A,N/A,N/A
"Waterfront Getaway #2, Historic Bristol.  30 day min.",N/A,"{'latitude': 40.09883117675781, 'longitude': -74.85704040527344}",N/A,N/A,N/A,N/A,N/A
